"","X","home_shot","away_shot","home_possession","away_possession","home_pass_success","away_pass_success","home_dribbles","away_dribbles","home_aerials_won","away_aerials_won","home_tackles","away_tackles","home_corners","away_corners","home_dispossessed","away_dispossessed","home_missing_player","away_missing_player","home","away","half_home_score","half_away_score","full_home_score","full_away_score","kick_off","day","date","matchup_home_goals","matchup_away_goals","matchup_home_wins","matchup_draw","matchup_away_wins","home_total_att","away_total_att","home_open_att","away_open_att","home_set_att","away_set_att","home_counter_att","away_counter_att","home_pk_att","away_pk_att","home_own_att","away_own_att","home_total_passes","away_total_passes","home_crosses_passes","away_crosses_passes","home_long_balls","away_long_balls","home_short_passes","away_short_passes","date_no","home_last_5_points","away_last_5_points","home_last_5_goals","away_last_5_goals","home_last_5_possession","away_last_5_possession","home_last_5_conceded","away_last_5_conceded","home_last_5_passes","away_last_5_passes","home_last_5_shot","away_last_5_shot","season","home_uefa","away_uefa"
"1",83,13,12,45.7,54.3,79,85,9,18,28,11,24,21,11,2,11,15,2,1,"Sevilla","Real Betis",0,0,2,0,"21:00","Thu","11-06-20",12,12,50,17,33,13,12,7,11,5,1,0,0,1,0,0,0,429,508,25,10,67,61,337,437,18424,8,5,11,8,58.4,54.66,8,9,2418,2611,61,57,"LIGA1920",124.713,30.713
"2",328,10,6,53.2,46.8,65,56,6,8,30,40,12,17,2,3,8,8,5,3,"Granada","Getafe",0,1,2,1,"18:30","Fri","12-06-20",9,8,50,33,17,11,6,7,5,3,1,0,0,0,0,1,0,332,297,13,21,78,83,241,193,18425,8,7,6,5,45.42,45.6,3,5,1807,1855,55,67,"LIGA1920",20.713,20.713
"3",352,12,14,50.3,49.7,83,84,5,13,11,9,11,8,0,6,5,2,5,1,"Valencia","Levante",0,0,1,1,"21:00","Fri","12-06-20",13,8,50,33,17,12,14,10,10,2,3,0,0,0,1,0,0,468,460,25,16,74,56,368,386,18425,5,7,5,5,51.12,49.02,10,6,2434,1995,36,50,"LIGA1920",57.713,20.713
"4",2,11,6,68.4,31.6,79,52,12,1,25,19,15,10,2,1,8,15,1,0,"Leganes","Real Valladolid",0,1,1,2,"18:30","Sat","13-06-20",10,6,67,17,17,11,6,7,4,3,2,0,0,1,0,0,0,563,262,28,2,77,86,458,174,18426,5,4,3,5,46.84,49.54,5,9,1907,2013,65,60,"LIGA1920",20.713,20.713
"5",105,4,16,40.6,59.4,77,85,7,8,14,15,12,11,2,8,5,5,2,4,"Celta Vigo","Villarreal",0,0,0,1,"16:00","Sat","13-06-20",10,11,50,0,50,4,16,3,10,1,5,0,1,0,0,0,0,407,594,12,25,79,68,315,500,18426,9,4,5,5,45.14,59.42,3,8,2027,2786,30,57,"LIGA1920",39.713,88.713
"6",154,13,12,35,65,84,89,12,16,9,21,13,11,9,3,7,5,2,3,"Mallorca","Barcelona",0,2,0,4,"21:00","Sat","13-06-20",4,24,0,0,100,13,12,9,10,3,2,1,0,0,0,0,0,400,740,26,7,41,50,332,681,18426,7,12,6,11,45.34,64.96,6,5,1881,3380,46,57,"LIGA1920",20.713,158.713
"7",2,19,1,69.2,30.8,83,65,11,4,25,23,16,13,2,1,8,8,2,1,"Espanyol","Deportivo Alaves",1,0,2,0,"13:00","Sat","13-06-20",4,4,33,33,33,19,1,15,0,4,1,0,0,0,0,0,0,575,255,20,9,61,61,493,185,18426,5,8,5,6,38.56,45.02,6,5,1506,1795,40,44,"LIGA1920",20.713,20.713
"8",133,6,9,56.1,43.9,83,80,10,5,14,11,13,22,3,3,13,7,2,2,"Real Madrid","Eibar",3,0,3,1,"18:30","Sun","14-06-20",15,6,83,0,17,6,9,4,5,1,4,1,0,0,0,0,0,602,471,9,28,85,59,506,384,18427,7,3,9,6,56.8,51.88,6,11,2967,2217,78,59,"LIGA1920",166.713,20.713
"9",259,10,9,54.6,45.4,80,75,8,11,33,25,7,13,5,7,8,7,2,3,"Athletic Bilbao","Atletico Madrid",1,1,1,1,"13:00","Sun","14-06-20",6,12,17,0,83,10,9,7,6,3,3,0,0,0,0,0,0,523,434,22,12,82,63,419,357,18427,6,9,7,9,48.7,46.92,6,6,1977,2121,59,57,"LIGA1920",66.713,20.713
"10",302,9,8,65.4,34.6,83,73,7,5,26,25,17,13,1,6,6,8,1,6,"Real Sociedad","Osasuna",0,1,1,1,"21:00","Sun","14-06-20",12,7,67,17,17,9,8,6,6,1,1,2,0,0,1,0,0,662,352,10,24,66,72,586,255,18427,12,6,8,5,50.86,45.8,3,10,2315,1868,61,64,"LIGA1920",31.213,20.713
"11",192,18,8,79.7,20.3,88,58,8,4,22,10,9,10,11,2,5,6,3,5,"Real Betis","Granada",0,1,2,2,"21:00","Mon","15-06-20",8,9,33,33,33,18,8,9,4,8,3,0,1,1,0,0,0,670,171,24,5,53,65,593,101,18428,5,11,6,8,59.56,46.1,8,3,2806,1741,62,55,"LIGA1920",30.713,20.713
"12",257,10,10,42.3,57.7,82,88,9,6,10,10,21,11,5,6,7,14,2,0,"Levante","Sevilla",0,0,1,1,"18:30","Mon","15-06-20",5,16,17,17,67,11,10,6,7,4,3,0,0,0,0,1,0,424,575,21,20,61,63,338,490,18428,5,11,4,12,49.26,56.64,7,6,2061,2299,55,63,"LIGA1920",20.713,124.713
"13",88,21,5,68.9,31.1,76,51,5,6,30,43,8,18,5,5,14,5,1,2,"Getafe","Espanyol",0,0,0,0,"18:30","Tue","16-06-20",9,4,50,33,17,21,5,17,4,4,1,0,0,0,0,0,0,524,237,19,13,85,88,420,136,18429,4,5,3,6,44.36,44.72,7,6,1713,1742,51,47,"LIGA1920",20.713,20.713
"14",139,10,15,51.1,48.9,82,80,13,18,18,23,10,11,2,6,7,6,4,3,"Villarreal","Mallorca",1,0,1,0,"18:30","Tue","16-06-20",6,9,33,17,50,10,15,8,10,1,5,1,0,0,0,0,0,517,493,9,32,61,58,447,403,18429,6,7,5,6,58.16,40.02,7,9,2742,1738,65,52,"LIGA1920",88.713,20.713
"15",147,10,6,75.3,24.7,92,76,14,3,8,10,14,22,3,2,14,7,2,3,"Barcelona","Leganes",1,0,2,0,"21:00","Tue","16-06-20",17,5,83,0,17,10,6,5,4,4,2,0,0,1,0,0,0,876,288,8,9,35,54,833,224,18429,12,5,12,4,63.92,50.22,3,5,3386,2053,59,64,"LIGA1920",158.713,20.713
"16",245,6,11,40.1,59.9,74,81,6,10,23,20,22,17,5,8,10,14,0,2,"Real Valladolid","Celta Vigo",0,0,0,0,"18:30","Wed","17-06-20",10,10,33,33,33,6,11,4,4,2,6,0,0,0,1,0,0,338,502,19,19,74,43,245,438,18430,6,6,6,3,49,44.16,9,3,1942,1980,58,21,"LIGA1920",20.713,39.713
"17",256,13,10,47.9,52.1,67,71,4,7,37,35,15,17,3,2,10,11,4,3,"Osasuna","Atletico Madrid",0,1,0,5,"21:00","Wed","17-06-20",4,12,17,0,83,13,10,12,7,1,3,0,0,0,0,0,0,409,450,15,11,97,73,297,364,18430,7,7,5,9,43.62,45.96,7,7,1772,2147,58,60,"LIGA1920",20.713,20.713
"18",294,12,6,47.9,52.1,56,63,6,4,37,41,13,15,8,3,13,10,1,2,"Eibar","Athletic Bilbao",1,1,2,2,"18:30","Wed","17-06-20",6,10,0,67,33,12,6,7,4,4,1,0,0,1,1,0,0,364,398,34,12,87,93,243,292,18430,3,7,6,7,48.4,52.38,12,5,2206,2193,63,63,"LIGA1920",20.713,66.713
"19",339,15,9,34.7,65.3,65,80,3,10,29,14,22,17,5,6,7,15,3,4,"Deportivo Alaves","Real Sociedad",0,0,2,0,"18:30","Thu","18-06-20",1,6,17,17,67,15,9,6,3,9,5,0,1,0,0,0,0,247,464,15,17,58,67,174,379,18431,5,10,4,7,43.44,51.18,6,3,1746,2441,36,56,"LIGA1920",20.713,31.213
