season,home,away,full_home_score,full_away_score,result,home_team,P_h,W_h,D_h,L_h,GF_h,GA_h,GD_h,Pts_h,raised_h,home_bs,away_bs,h_skill,HA,away_team,P_a,W_a,D_a,L_a,GF_a,GA_a,GD_a,Pts_a,raised_a,a_skill,home_team_fixed,home_bs_fixed,away_bs_fixed,h_skill_fixed,HA_fixed,away_team_fixed,a_skill_fixed
1112,Borussia Dortmund,Werder Bremen,2,1,1,Borussia Dortmund,34,25,6,3,80,25,55,81,0,0.46137848533109654,0.13510513856576475,0,0.44160198785050375,Werder Bremen,34,11,9,14,49,58,-9,42,0,-0.475915878100617,Borussia Dortmund,0.4543042595772364,0.21993489241359335,0,0.3290815527067956,Werder Bremen,-0.47524546048747585
1112,Greuther Fuerth,Bayern Munich,0,3,-1,Greuther Fuerth,34,20,10,4,73,27,46,70,1,0.46137848533109654,0.13510513856576475,-0.6052565312740275,0.44160198785050375,Bayern Munich,34,23,4,7,77,22,55,73,0,0.16381590945889613,Greuther Fuerth,0.4543042595772364,0.21993489241359335,-0.6030874490751649,0.3290815527067956,Bayern Munich,0.15234556088578727
1112,Hamburger SV,Nuernberg,0,1,-1,Hamburger SV,34,8,12,14,35,57,-22,36,0,0.46137848533109654,0.13510513856576475,-0.5294428178028366,0.44160198785050375,Nuernberg,34,12,6,16,38,49,-11,42,0,-0.49580579433148625,Hamburger SV,0.4543042595772364,0.21993489241359335,-0.5275899454785978,0.3290815527067956,Nuernberg,-0.4961622182781143
1112,VfB Stuttgart,Wolfsburg,0,1,-1,VfB Stuttgart,34,15,8,11,63,46,17,53,0,0.46137848533109654,0.13510513856576475,-0.3691121940201565,0.44160198785050375,Wolfsburg,34,13,5,16,47,60,-13,44,0,-0.3978957807293724,VfB Stuttgart,0.4543042595772364,0.21993489241359335,-0.3683821362331512,0.3290815527067956,Wolfsburg,-0.3999319778275275
1112,Augsburg,Fortuna Duesseldorf,0,2,-1,Augsburg,34,8,14,12,36,49,-13,38,0,0.46137848533109654,0.13510513856576475,-0.4634342422102795,0.44160198785050375,Fortuna Duesseldorf,34,16,14,4,64,35,29,62,1,-0.4969948241556413,Augsburg,0.4543042595772364,0.21993489241359335,-0.46386101943812985,0.3290815527067956,Fortuna Duesseldorf,-0.49974112534067755
1112,Freiburg,Mainz 05,1,1,0,Freiburg,34,10,10,14,45,61,-16,40,0,0.46137848533109654,0.13510513856576475,-0.4559962249728331,0.44160198785050375,Mainz 05,34,9,12,13,47,51,-4,39,0,-0.3918253144714537,Freiburg,0.4543042595772364,0.21993489241359335,-0.4552388387529114,0.3290815527067956,Mainz 05,-0.3917856491026688
1112,Eintracht Frankfurt,Bayer Leverkusen,2,1,1,Eintracht Frankfurt,34,20,8,6,76,33,43,68,1,0.46137848533109654,0.13510513856576475,-0.39759947537869034,0.44160198785050375,Bayer Leverkusen,34,15,9,10,52,44,8,54,0,-0.23314068018459624,Eintracht Frankfurt,0.4543042595772364,0.21993489241359335,-0.3988384975774263,0.3290815527067956,Bayer Leverkusen,-0.23730867453589716
1112,Borussia M.Gladbach,Hoffenheim,2,1,1,Borussia M.Gladbach,34,17,9,8,49,24,25,60,0,0.46137848533109654,0.13510513856576475,-0.22964814503386352,0.44160198785050375,Hoffenheim,34,10,11,13,41,47,-6,41,0,-0.4400451603989797,Borussia M.Gladbach,0.4543042595772364,0.21993489241359335,-0.2333718171762712,0.3290815527067956,Hoffenheim,-0.4410151923144067
1112,Hannover 96,Schalke 04,2,2,0,Hannover 96,34,12,12,10,41,45,-4,48,0,0.46137848533109654,0.13510513856576475,-0.4257597244965963,0.44160198785050375,Schalke 04,34,20,4,10,74,44,30,64,0,-0.20014393519427215,Hannover 96,0.4543042595772364,0.21993489241359335,-0.425365077208312,0.3290815527067956,Schalke 04,-0.2027091177271168
1112,Mainz 05,Greuther Fuerth,0,1,-1,Mainz 05,34,9,12,13,47,51,-4,39,0,0.46137848533109654,0.13510513856576475,-0.3918253144714537,0.44160198785050375,Greuther Fuerth,34,20,10,4,73,27,46,70,1,-0.6052565312740275,Mainz 05,0.4543042595772364,0.21993489241359335,-0.3917856491026688,0.3290815527067956,Greuther Fuerth,-0.6030874490751649
