"","X","home_shot","away_shot","home_possession","away_possession","home_pass_success","away_pass_success","home_dribbles","away_dribbles","home_aerials_won","away_aerials_won","home_tackles","away_tackles","home_corners","away_corners","home_dispossessed","away_dispossessed","home_missing_player","away_missing_player","home","away","half_home_score","half_away_score","full_home_score","full_away_score","kick_off","day","date","matchup_home_goals","matchup_away_goals","matchup_home_wins","matchup_draw","matchup_away_wins","home_total_att","away_total_att","home_open_att","away_open_att","home_set_att","away_set_att","home_counter_att","away_counter_att","home_pk_att","away_pk_att","home_own_att","away_own_att","home_total_passes","away_total_passes","home_crosses_passes","away_crosses_passes","home_long_balls","away_long_balls","home_short_passes","away_short_passes","date_no","home_last_5_points","away_last_5_points","home_last_5_goals","away_last_5_goals","home_last_5_possession","away_last_5_possession","home_last_5_conceded","away_last_5_conceded","home_last_5_passes","away_last_5_passes","home_last_5_shot","away_last_5_shot","season","home_uefa","away_uefa"
"1",322,18,12,0,0,84,77,2,4,8,13,29,22,2,0,15,23,9,4,"AC Milan","Lazio",2,2,2,2,"19:45","Fri","09-09-11",8,5,33,50,17,18,12,17,11,1,1,0,0,0,0,0,0,552,365,22,19,69,65,451,278,15226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",94.11,23.11
"2",119,11,18,0,0,79,85,10,4,9,7,17,22,4,6,8,8,3,6,"Cesena","Napoli",1,1,1,3,"19:45","Sat","10-09-11",4,15,0,33,67,11,18,3,10,4,6,4,2,0,0,0,0,397,506,14,24,61,78,317,399,15227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",12.11,21.11
"3",55,16,10,0,0,88,81,12,7,6,5,12,26,5,4,14,7,4,1,"Roma","Cagliari",0,0,1,2,"14:00","Sun","11-09-11",13,12,50,33,17,16,10,8,8,8,1,0,1,0,0,0,0,576,401,27,17,68,56,473,325,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",85.11,12.11
"4",61,15,15,0,0,76,74,2,3,9,10,24,20,7,3,4,19,3,4,"Genoa","Atalanta",1,2,2,2,"14:00","Sun","11-09-11",7,5,50,33,17,15,15,11,11,4,2,0,2,0,0,0,0,467,377,30,20,49,58,385,291,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",17.11,12.11
"5",72,18,15,0,0,86,86,10,2,17,5,14,26,8,5,17,12,4,5,"Lecce","Udinese",0,2,0,2,"14:00","Sun","11-09-11",6,12,17,17,67,18,15,16,10,2,4,0,1,0,0,0,0,473,454,28,19,96,60,344,369,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",12.11,27.11
"6",141,15,14,0,0,82,79,8,13,9,8,21,22,12,1,12,15,1,5,"Fiorentina","Bologna",1,0,2,0,"14:00","Sun","11-09-11",8,6,33,50,17,15,14,14,11,0,3,1,0,0,0,0,0,467,441,26,11,60,53,378,374,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",63.11,12.11
"7",159,9,5,0,0,82,80,7,1,5,8,23,22,4,4,15,18,5,1,"Catania","Robur Siena",0,0,0,0,"14:00","Sun","11-09-11",6,10,0,67,33,9,5,7,4,2,1,0,0,0,0,0,0,535,411,36,16,66,80,430,310,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",12.11,12.11
"8",294,16,18,0,0,78,85,5,10,12,10,22,17,4,7,5,18,2,8,"Palermo FC","Inter",0,1,4,3,"19:45","Sun","11-09-11",10,16,0,33,67,16,18,8,15,7,2,1,0,0,1,0,0,355,538,18,20,37,65,294,447,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",26.11,100.11
"9",311,11,14,0,0,72,76,9,3,22,13,20,14,0,6,11,16,0,3,"Chievo","Novara",2,1,2,2,"14:00","Sun","11-09-11",3,0,100,0,0,11,14,9,8,1,5,1,1,0,0,0,0,360,468,9,28,82,54,266,381,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",12.11,12.11
"10",329,12,2,0,0,87,73,7,8,3,10,24,22,4,1,14,17,2,2,"Juventus","Parma Calcio 1913",1,0,4,1,"11:30","Sun","11-09-11",11,12,33,0,67,12,2,10,1,1,0,1,0,0,1,0,0,668,354,23,13,57,66,583,271,15228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE1112",47.11,22.11
