,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,30,7,68.0,32.0,91,80,13,2,7,5,16,16,9,4,9,12,3,0,6.43,,Barcelona,SD Huesca,3,2,8,2,17:30,"Jpl, 02-Sep-18",12.0,1.0,Won (100%),Drew (0%),Won (0%),31,7,23,6,4,0,2,1,1,0,1,0,681,321,8,10,31,46,633,265
1,20,9,64.8,35.2,87,73,10,7,8,15,21,15,8,6,11,12,2,2,6.27,6.63,Real Valladolid,Levante,0,0,2,1,19:00,"Alh, 27-Sep-18",7.0,11.0,Won (17%),Drew (33%),Won (50%),20,9,16,3,4,6,0,0,0,0,0,0,515,280,30,21,57,58,428,201
2,23,6,53.4,46.6,82,79,10,5,11,12,13,14,8,3,6,1,4,2,6.82,6.24,Valencia,Levante,1,0,3,1,19:45,"Jpl, 14-Apr-19",12.0,5.0,Won (50%),Drew (33%),Won (17%),23,7,13,6,8,0,2,0,0,0,0,1,480,420,17,11,63,50,398,356
3,13,11,79.2,20.8,89,57,12,8,12,18,10,24,4,3,12,5,4,5,7.03,6.62,Barcelona,Getafe,1,0,2,0,17:30,"Jpl, 12-Mei-19",18.0,2.0,Won (83%),Drew (17%),Won (0%),14,11,9,11,3,0,1,0,0,0,1,0,915,245,11,10,69,53,833,182
4,15,12,54.9,45.1,71,68,9,8,15,21,21,20,10,2,5,13,0,4,,6.57,Getafe,Levante,0,0,0,1,15:15,"Jmos, 06-Okt-18",7.0,6.0,Won (33%),Drew (33%),Won (33%),15,12,9,9,6,3,0,0,0,0,0,0,382,314,36,8,80,66,265,240
5,15,17,44.6,55.4,84,86,3,16,10,10,20,24,11,4,18,12,2,7,6.66,6.74,Espanyol,Barcelona,0,3,0,4,19:45,"Jmos, 08-Des-18",2.0,11.0,Won (17%),Drew (17%),Won (67%),15,17,9,9,5,5,1,3,0,0,0,0,483,601,22,5,51,60,407,535
6,23,14,51.5,48.5,83,81,8,8,13,14,14,21,6,3,15,9,4,2,6.94,6.7,Sevilla,Espanyol,0,1,2,1,17:30,"Jpl, 11-Nov-18",13.0,9.0,Won (50%),Drew (17%),Won (33%),23,14,21,12,2,2,0,0,0,0,0,0,473,448,28,11,53,78,390,357
7,13,16,36.5,63.5,81,86,8,22,7,10,20,15,1,6,8,10,5,5,6.65,6.65,Espanyol,Real Madrid,1,3,2,4,19:45,"Jpl, 27-Jan-19",1.0,13.0,Won (17%),Drew (0%),Won (83%),13,16,8,14,5,2,0,0,0,0,0,0,375,648,7,13,48,78,317,557
8,14,14,57.3,42.7,82,81,16,16,7,9,17,13,5,7,7,9,2,4,6.9,6.63,Celta Vigo,Levante,0,2,1,4,12:00,"Jmos, 16-Feb-19",14.0,7.0,Won (100%),Drew (0%),Won (0%),14,14,11,10,2,4,0,0,1,0,0,0,460,342,13,11,46,52,398,275
9,10,17,39.8,60.2,64,79,11,7,21,25,21,17,2,8,11,15,2,4,6.62,6.53,Celta Vigo,Eibar,2,0,4,0,17:30,"Jmos, 27-Okt-18",9.0,4.0,Won (67%),Drew (0%),Won (33%),10,17,9,11,0,5,1,1,0,0,0,0,357,541,6,37,74,75,277,429
