,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,24,5,0,0,69,76,9,2,12,8,21,29,6,2,19,14,1,3,6.54,6.88,Parma Calcio 1913,Palermo FC,0,0,0,0,19:45,"Jpl, 04-Des-11",8,7,Won (50%),Drew (0%),Won (50%),24,5,18,5,6,0,0,0,0,0,0,0,310,346,29,19,51,59,226,267
1,9,13,0,0,78,78,7,14,13,13,28,23,3,5,17,12,4,3,6.52,6.41,Cagliari,Parma Calcio 1913,0,0,0,0,14:00,"Jpl, 11-Des-11",9,4,Won (50%),Drew (50%),Won (0%),9,13,7,10,2,3,0,0,0,0,0,0,370,433,17,24,48,79,302,328
2,9,17,0,0,71,78,4,7,19,9,22,16,4,5,9,13,5,5,6.57,6.53,Novara,Cagliari,0,0,0,0,14:00,"Jpl, 05-Feb-12",1,2,Won (0%),Drew (0%),Won (100%),9,17,7,13,2,3,0,1,0,0,0,0,394,539,25,27,47,59,320,451
3,18,10,0,0,86,82,9,5,10,6,19,19,4,3,12,12,2,5,7.28,6.77,Napoli,Genoa,4,1,6,1,19:45,"Jtan, 21-Des-11",5,8,Won (33%),Drew (17%),Won (50%),18,10,14,8,2,1,2,1,0,0,0,0,548,470,23,15,75,58,442,395
4,12,9,0,0,79,79,13,8,11,12,25,33,1,8,21,17,1,3,7.16,6.37,Parma Calcio 1913,Cagliari,1,0,3,0,17:00,"Jmos, 21-Apr-12",3,8,Won (0%),Drew (50%),Won (50%),12,9,8,7,2,2,0,0,2,0,0,0,453,431,13,23,69,48,369,360
5,30,8,0,0,87,81,8,5,11,8,28,21,8,1,15,19,1,4,7.68,6.52,Juventus,Catania,1,1,3,1,19:45,"Jmos, 18-Feb-12",10,7,Won (33%),Drew (50%),Won (17%),30,8,22,6,8,0,0,2,0,0,0,0,614,350,39,3,49,53,516,292
6,17,16,0,0,80,82,8,7,8,6,31,33,6,10,21,18,2,5,6.38,6.54,Fiorentina,Catania,1,1,2,2,17:00,"Jmos, 22-Okt-11",10,2,Won (67%),Drew (17%),Won (17%),17,16,10,10,4,6,3,0,0,0,0,0,462,493,23,32,58,53,378,404
7,16,8,0,0,88,69,4,9,11,3,18,12,8,2,10,9,4,3,6.79,6.51,Atalanta,Catania,0,1,1,1,14:00,"Jpl, 11-Des-11",3,2,Won (33%),Drew (50%),Won (17%),16,8,11,3,5,5,0,0,0,0,0,0,635,278,47,16,75,58,508,204
8,11,7,0,0,77,77,8,3,19,9,22,22,3,4,15,12,3,3,6.77,6.74,Chievo,Atalanta,0,0,0,0,14:00,"Jpl, 04-Des-11",7,5,Won (33%),Drew (50%),Won (17%),11,7,7,5,4,2,0,0,0,0,0,0,505,522,26,19,77,74,399,424
9,13,11,0,0,76,78,14,6,19,11,33,25,3,5,17,18,3,2,7.23,6.72,Napoli,Palermo FC,2,0,2,0,19:45,"Jnne, 01-Mei-12",7,7,Won (33%),Drew (17%),Won (50%),13,11,9,11,2,0,1,0,1,0,0,0,459,389,15,25,66,41,366,322
10,14,10,0,0,86,80,7,5,12,4,21,17,10,5,11,16,5,4,7.18,6.84,Napoli,Robur Siena,2,1,2,1,19:45,"Jpl, 13-Mei-12",7,6,Won (33%),Drew (33%),Won (33%),14,10,9,4,4,4,1,2,0,0,0,0,512,384,32,12,57,44,412,325
11,13,15,0,0,79,78,2,6,7,13,16,19,5,5,13,9,3,6,6.63,6.72,Robur Siena,Udinese,0,0,1,0,14:00,"Jpl, 01-Apr-12",7,11,Won (17%),Drew (33%),Won (50%),13,15,13,12,0,3,0,0,0,0,0,0,394,554,24,28,58,79,311,446
12,17,6,0,0,78,75,11,6,14,10,13,22,6,2,20,8,4,5,6.59,7.07,Chievo,Udinese,0,0,0,0,17:00,"Jmos, 21-Apr-12",4,8,Won (17%),Drew (33%),Won (50%),17,6,15,3,1,2,0,1,1,0,0,0,450,489,22,14,54,59,368,409
13,17,15,0,0,83,76,7,3,12,10,15,20,3,8,13,6,5,6,6.84,6.58,Lazio,Catania,1,0,1,1,19:45,"Jtan, 26-Okt-11",7,5,Won (33%),Drew (33%),Won (33%),17,15,10,10,6,5,1,0,0,0,0,0,543,418,33,29,87,67,423,320
14,15,12,0,0,83,77,5,5,17,12,19,22,6,4,18,7,6,3,7.07,6.75,Inter,Udinese,0,0,0,1,19:45,"Jmos, 03-Des-11",10,7,Won (83%),Drew (0%),Won (17%),15,12,11,7,3,3,0,1,1,1,0,0,494,385,28,11,56,62,407,305
15,16,18,0,0,79,87,5,8,10,9,23,22,3,2,14,13,7,6,6.9,6.84,Atalanta,Fiorentina,1,0,2,0,14:00,"Jpl, 29-Apr-12",8,11,Won (17%),Drew (33%),Won (50%),16,18,9,14,6,3,1,0,0,1,0,0,392,578,20,21,73,58,291,486
16,11,10,0,0,86,86,6,8,6,5,22,22,3,6,13,14,3,5,6.82,6.98,Lecce,Palermo FC,1,1,1,1,14:00,"Jpl, 18-Mac-12",9,14,Won (17%),Drew (33%),Won (50%),11,10,7,3,3,4,0,3,1,0,0,0,495,488,22,20,56,65,409,395
17,18,6,0,0,85,80,15,8,10,9,24,24,4,0,13,18,7,4,7.07,6.66,Inter,Cagliari,0,0,2,1,17:00,"Jmos, 19-Nov-11",9,4,Won (67%),Drew (17%),Won (17%),18,6,11,4,6,2,1,0,0,0,0,0,525,440,20,14,66,48,435,375
18,24,10,0,0,87,70,7,7,7,5,11,12,2,3,6,7,7,5,7.19,6.86,AC Milan,Udinese,0,1,1,1,19:45,"Jtan, 21-Sep-11",8,10,Won (17%),Drew (33%),Won (50%),24,10,21,6,3,4,0,0,0,0,0,0,727,349,17,12,64,70,641,267
19,18,11,0,0,80,66,5,8,23,26,19,21,1,2,18,12,4,3,6.98,6.85,Chievo,Cesena,0,0,1,0,14:00,"Jpl, 26-Feb-12",6,4,Won (33%),Drew (50%),Won (17%),18,11,15,8,3,2,0,1,0,0,0,0,503,348,24,20,72,83,406,243
20,12,6,0,0,75,72,5,4,15,19,31,20,3,1,15,16,5,2,7.05,6.85,Udinese,Cagliari,0,0,0,0,19:45,"Jpl, 19-Feb-12",15,6,Won (50%),Drew (50%),Won (0%),12,6,8,6,4,0,0,0,0,0,0,0,490,413,23,9,56,58,407,345
21,21,8,0,0,80,75,4,8,8,22,22,15,8,4,9,11,3,3,7.06,6.67,Chievo,Genoa,0,0,2,1,11:30,"Jpl, 25-Sep-11",8,6,Won (33%),Drew (33%),Won (33%),21,8,17,3,3,3,0,2,1,0,0,0,444,450,38,13,64,68,336,367
22,18,7,0,0,81,83,4,11,13,14,27,17,10,7,12,13,2,7,6.91,6.84,Parma Calcio 1913,Bologna,1,0,1,0,17:00,"Jpl, 13-Mei-12",4,6,Won (17%),Drew (50%),Won (33%),18,7,9,4,9,3,0,0,0,0,0,0,407,500,26,21,67,50,310,427
23,13,7,0,0,78,77,9,8,11,14,24,33,5,3,21,15,3,3,6.45,6.88,Fiorentina,Cesena,0,0,2,0,14:00,"Jpl, 04-Mac-12",4,2,Won (50%),Drew (50%),Won (0%),14,6,8,5,4,1,1,0,0,0,1,0,467,438,25,22,69,61,368,351
24,15,8,0,0,79,70,6,10,14,11,20,27,11,2,17,16,2,1,6.6,6.91,Genoa,Lecce,0,0,0,0,14:00,"Jpl, 16-Okt-11",16,7,Won (83%),Drew (0%),Won (17%),15,8,13,7,2,1,0,0,0,0,0,0,548,347,34,15,56,72,453,254
25,14,11,0,0,81,79,11,16,11,11,27,13,2,8,7,17,3,5,6.92,6.44,Napoli,Cagliari,3,1,6,3,19:45,"Ijm, 09-Mac-12",6,6,Won (33%),Drew (50%),Won (17%),15,10,7,7,4,3,2,0,1,0,1,0,505,434,15,23,71,49,412,358
26,12,3,0,0,79,70,11,11,15,11,27,32,4,5,16,17,3,5,6.32,6.72,Fiorentina,Lecce,0,0,0,1,14:00,"Jpl, 15-Jan-12",7,6,Won (33%),Drew (33%),Won (33%),12,3,5,2,6,0,1,0,0,1,0,0,561,386,19,7,56,78,481,292
27,11,9,0,0,75,76,11,5,18,11,22,34,7,2,14,16,3,2,6.96,6.85,Catania,Parma Calcio 1913,1,1,1,1,17:00,"Jmos, 28-Jan-12",11,9,Won (50%),Drew (17%),Won (33%),11,9,5,9,6,0,0,0,0,0,0,0,420,425,27,22,66,67,324,334
28,8,12,0,0,81,85,7,12,7,5,26,23,3,8,14,16,5,4,6.66,6.93,Robur Siena,Parma Calcio 1913,0,0,0,2,11:30,"Jpl, 06-Mei-12",6,8,Won (17%),Drew (33%),Won (50%),8,12,4,9,2,3,2,0,0,0,0,0,476,548,16,25,56,76,397,442
29,24,10,0,0,83,82,11,6,5,16,19,20,5,10,14,9,5,3,6.64,6.39,Roma,Atalanta,2,0,3,1,17:00,"Jmos, 01-Okt-11",10,7,Won (83%),Drew (0%),Won (17%),24,10,18,6,5,3,1,1,0,0,0,0,454,486,19,35,58,61,374,384
30,10,15,0,0,66,75,5,15,15,11,24,16,4,11,10,13,4,7,6.83,6.63,Genoa,Lazio,2,0,3,2,11:30,"Jpl, 05-Feb-12",5,9,Won (17%),Drew (17%),Won (67%),10,15,8,8,2,6,0,0,0,1,0,0,380,394,19,31,54,52,300,309
31,6,17,0,0,68,82,16,5,14,14,24,27,4,7,10,15,2,1,6.98,7.01,Parma Calcio 1913,Juventus,0,0,0,0,17:30,"Jtan, 15-Feb-12",13,12,Won (67%),Drew (0%),Won (33%),6,17,2,9,3,7,1,1,0,0,0,0,330,568,20,27,59,74,248,463
32,7,16,0,0,77,89,9,5,10,8,29,16,3,6,9,19,2,7,6.69,6.96,Lecce,Roma,2,0,4,2,14:00,"Jmos, 07-Apr-12",5,15,Won (0%),Drew (0%),Won (100%),7,16,3,9,3,7,0,0,1,0,0,0,299,589,8,28,59,60,229,496
33,7,13,0,0,58,59,11,12,19,20,20,22,2,4,15,12,4,5,6.57,6.99,Chievo,Roma,0,0,0,0,17:00,"Jnne, 01-Mei-12",2,8,Won (0%),Drew (33%),Won (67%),7,13,6,9,0,4,1,0,0,0,0,0,316,326,13,17,77,75,219,233
34,9,16,0,0,74,84,8,6,12,13,23,20,0,4,12,18,5,6,6.67,7.03,Cesena,Udinese,0,1,0,1,19:45,"Jtan, 02-Mei-12",1,8,Won (0%),Drew (0%),Won (100%),9,16,8,6,0,8,0,2,1,0,0,0,355,619,9,21,65,84,280,508
35,18,9,59.2,40.8,72,66,3,7,22,13,17,14,6,2,7,12,1,1,6.9,7.3,Chievo,Bologna,0,0,0,1,19:45,"Jtan, 26-Okt-11",7,4,Won (33%),Drew (50%),Won (17%),18,9,14,7,4,1,0,1,0,0,0,0,529,367,32,16,82,70,413,277
36,13,8,0,0,87,73,8,4,7,9,23,29,7,1,21,18,5,3,7,6.84,AC Milan,Chievo,4,0,4,0,19:45,"Jpl, 27-Nov-11",10,3,Won (100%),Drew (0%),Won (0%),13,8,8,4,4,4,0,0,1,0,0,0,811,368,22,9,95,38,687,319
37,13,31,0,0,71,87,10,16,15,5,29,24,6,17,11,18,4,3,6.94,7.42,Genoa,Juventus,0,0,0,0,14:00,"Jpl, 11-Mac-12",11,14,Won (17%),Drew (33%),Won (50%),13,31,9,22,4,9,0,0,0,0,0,0,308,537,19,54,65,58,215,412
38,15,10,0,0,84,81,11,11,6,10,32,30,6,2,10,20,5,1,7.03,6.93,Inter,Bologna,0,2,0,3,19:45,"Ijm, 17-Feb-12",15,4,Won (83%),Drew (17%),Won (0%),15,10,9,8,6,2,0,0,0,0,0,0,533,446,26,6,54,71,444,366
39,13,15,0,0,76,84,8,11,10,15,28,10,2,8,7,7,7,6,6.72,6.66,Chievo,Lecce,0,0,1,0,19:45,"Jpl, 13-Mei-12",9,11,Won (17%),Drew (50%),Won (33%),13,15,9,12,4,3,0,0,0,0,0,0,391,504,15,20,62,76,309,397
40,19,4,0,0,91,89,5,2,8,1,25,14,3,4,12,13,0,4,,6.98,Juventus,Roma,3,0,4,0,19:45,"Jpl, 22-Apr-12",8,6,Won (33%),Drew (33%),Won (33%),19,4,12,4,5,0,1,0,1,0,0,0,582,526,12,14,52,89,511,423
41,7,21,0,0,67,85,10,5,9,10,23,15,4,7,9,14,3,3,6.92,6.82,Udinese,Napoli,1,0,2,2,19:45,"Jpl, 18-Mac-12",10,7,Won (50%),Drew (33%),Won (17%),7,21,6,12,1,7,0,1,0,1,0,0,270,518,17,36,61,59,188,412
42,11,9,0,0,81,76,8,9,13,12,18,24,4,6,17,9,3,2,6.82,6.12,Lecce,Cagliari,0,2,0,2,14:00,"Jpl, 02-Okt-11",10,8,Won (33%),Drew (33%),Won (33%),10,10,4,5,5,3,1,1,0,0,0,1,421,404,28,21,63,66,321,315
43,19,18,0,0,82,81,5,9,8,9,16,15,2,3,8,8,4,7,6.72,6.63,Novara,Cesena,1,0,3,0,14:00,"Jpl, 06-Mei-12",8,11,Won (17%),Drew (50%),Won (33%),19,18,14,18,3,0,0,0,2,0,0,0,468,370,24,25,58,62,376,282
44,15,12,0,0,78,78,6,4,18,16,22,25,12,10,12,12,3,3,6.32,6.82,Cesena,Atalanta,0,0,0,1,14:00,"Jpl, 29-Jan-12",5,11,Won (0%),Drew (50%),Won (50%),14,13,9,5,5,7,0,0,0,0,0,1,412,438,41,34,63,62,308,340
45,9,11,0,0,81,81,4,2,11,14,14,15,5,4,10,10,3,4,6.73,6.97,Cesena,Lazio,1,0,1,2,19:45,"Jtan, 21-Sep-11",1,1,Won (50%),Drew (0%),Won (50%),9,11,4,8,5,1,0,1,0,1,0,0,426,495,22,23,96,68,304,399
46,8,19,26.5,73.5,68,90,3,6,4,10,18,21,4,3,16,9,4,5,6.78,6.89,Genoa,AC Milan,0,0,0,2,19:45,"Ijm, 02-Des-11",7,8,Won (33%),Drew (33%),Won (33%),8,19,6,13,2,5,0,0,0,1,0,0,265,737,15,27,38,81,208,623
47,20,16,0,0,84,83,11,8,12,14,21,27,7,2,17,11,5,4,6.64,6.7,Lecce,Cesena,0,0,0,0,14:00,"Jpl, 01-Apr-12",7,7,Won (33%),Drew (17%),Won (50%),20,16,12,14,8,2,0,0,0,0,0,0,524,399,35,13,76,71,400,312
48,20,4,0,0,86,75,8,5,9,6,18,22,5,5,13,16,1,5,,6.9,Juventus,AC Milan,0,0,2,0,19:45,"Jpl, 02-Okt-11",3,10,Won (33%),Drew (0%),Won (67%),20,4,18,3,2,1,0,0,0,0,0,0,532,415,26,12,53,88,446,313
49,11,20,0,0,84,76,3,8,14,12,20,17,6,4,15,11,4,4,6.78,6.66,Palermo FC,Cesena,0,0,0,1,19:45,"Jmos, 10-Des-11",4,3,Won (50%),Drew (50%),Won (0%),11,20,8,13,3,5,0,2,0,0,0,0,589,351,33,16,83,71,465,260
50,9,13,0,0,75,82,10,7,10,7,31,29,1,6,16,12,3,2,6.74,7.51,Bologna,Juventus,1,0,1,1,17:30,"Jtan, 07-Mac-12",6,6,Won (17%),Drew (50%),Won (33%),9,13,6,8,2,4,1,1,0,0,0,0,330,540,12,30,47,58,269,444
51,15,13,0,0,83,74,6,7,13,17,30,18,6,5,10,16,3,4,6.69,7.22,Catania,Fiorentina,0,0,1,0,14:00,"Jpl, 11-Mac-12",4,10,Won (17%),Drew (33%),Won (50%),15,13,14,8,0,3,0,2,1,0,0,0,551,403,29,34,76,70,443,292
52,8,19,0,0,69,83,4,7,23,26,23,21,2,3,12,19,3,4,6.7,6.82,Novara,Udinese,1,0,1,0,19:45,"Jpl, 11-Mac-12",0,3,Won (0%),Drew (0%),Won (100%),8,19,7,15,1,3,0,1,0,0,0,0,325,586,18,31,61,68,243,479
53,10,19,0,0,72,80,5,5,13,11,18,23,4,5,18,9,9,3,6.83,7.2,Bologna,Napoli,1,0,2,0,14:00,"Jpl, 06-Mei-12",6,12,Won (17%),Drew (17%),Won (67%),10,19,6,15,2,4,2,0,0,0,0,0,328,492,11,27,63,55,245,393
54,15,9,0,0,77,76,8,4,13,17,29,21,3,3,12,22,5,4,6.84,6.69,Cesena,Robur Siena,0,0,0,2,14:00,"Jpl, 11-Mac-12",0,2,Won (0%),Drew (0%),Won (100%),15,9,12,5,3,3,0,0,0,1,0,0,423,439,27,12,79,56,316,368
