,,08월 09일,09월 10일,10월 11일,11월 12일,12월 13일,ranking
FC Barcelona,Esp,28.6624,30.5856,36.6428,34.1714,27.5428,157.605
Bayern München,Ger,22.5374,30.6166,24.1332,33.05,36.5856,146.922
Chelsea,Eng,25,22.5856,26.6714,33.05,30.2856,137.592
Real Madrid,Esp,14.6624,22.5856,33.6428,36.1714,29.5428,136.605
Manchester United,Eng,28,28.5856,36.6714,16.05,21.2856,130.592
Arsenal,Eng,22,25.5856,22.6714,22.05,21.2856,113.592
Internazionale,Ita,13.275,34.0856,21.3142,20.2714,16.8832,105.829
FC Porto,Por,17.357,21,31.76,12.3666,22.35,104.833
Benfica,Por,4.357,21,25.76,23.3666,28.35,102.833
Valencia,Esp,13.6624,19.5856,21.6428,25.1714,22.5428,102.605
Atlético Madrid,Esp,17.6624,24.5856,9.6428,34.1714,13.5428,99.605
Olympique Lyon,Fra,15.2,28,19.15,19.1,14.35,95.8
Shakhtar Donetsk,Ukr,29.325,11.16,26.0166,9.55,18.9,94.951
AC Milan,Ita,14.275,19.0856,18.3142,22.2714,19.8832,93.829
Schalke 04,Ger,8.5374,3.6166,30.1332,20.05,22.5856,84.922
Olympique Marseille,Fra,14.2,17,20.15,21.1,6.35,78.8
Liverpool,Eng,23,24.5856,15.6714,3.05,12.2856,78.592
CSKA Moscow,Rus,18.95,21.2332,16.1832,17.95,3.45,77.766
Paris Saint-Germain,Fra,18.2,3,14.15,9.1,27.35,71.8
Juventus,Ita,16.275,18.0856,8.3142,2.2714,25.8832,70.829
Zenit St. Petersburg,Rus,14.95,2.7332,18.1832,19.95,14.95,70.766
Manchester City,Eng,20,3.5856,16.6714,20.05,10.2856,70.592
Sporting CP Lisbon,Por,13.357,14,13.76,22.3666,6.35,69.833
Tottenham Hotspur,Eng,12,3.5856,24.6714,10.05,19.2856,69.592
Dinamo Kiev,Ukr,22.325,9.16,19.0166,7.55,10.9,68.951
Villarreal,Esp,18.6624,10.5856,26.6428,8.1714,3.5428,67.605
Ajax,Ned,14.2666,10.8832,15.2332,14.72,9.8428,64.945
PSV Eindhoven,Ned,6.2666,13.8832,20.2332,18.72,5.8428,64.945
Sporting Braga,Por,13.357,3,25.76,12.3666,8.35,62.833
Metalist Kharkiv,Ukr,18.325,2.66,10.0166,19.55,11.9,62.451
Borussia Dortmund,Ger,4.5374,3.6166,10.1332,10.05,33.5856,61.922
Werder Bremen,Ger,24.5374,18.6166,11.1332,3.05,3.5856,60.922
VfB Stuttgart,Ger,10.5374,20.6166,13.1332,3.05,12.5856,59.922
Girondins Bordeaux,Fra,11.2,30,2.15,2.1,14.35,59.8
FC Basel,Sui,4.58,7.15,10.18,20.2,17.675,59.785
FC Twente Enschede,Ned,9.2666,9.8832,17.2332,17.72,4.8428,58.945
Rubin Kazan,Rus,1.95,14.2332,12.1832,9.95,19.95,58.266
Olympiakos Piraeus,Gre,9.3,17.58,2.52,17.52,10.88,57.8
Hamburger SV,Ger,24.5374,21.6166,3.1332,3.05,3.5856,55.922
Sevilla,Esp,10.6624,22.5856,12.6428,5.6714,3.5428,55.105
Galatasaray,Tur,15.4,11.52,2.42,1.02,24.04,54.4
Bayer Leverkusen,Ger,2.5374,3.6166,16.1332,19.05,12.5856,53.922
AS Roma,Ita,16.275,12.0856,18.3142,3.7714,2.8832,53.329
Athletic Bilbao,Esp,2.6624,11.5856,3.6428,27.1714,7.5428,52.605
FC København,Den,9.64,7.88,18.34,4.62,6.66,47.14
Napoli,Ita,4.275,3.0856,9.3142,21.2714,8.8832,46.829
Fenerbahçe,Tur,6.4,12.52,2.42,1.02,24.04,46.4
Standard Liège,Bel,10.9,17.74,0.92,15.02,1.3,45.88
Lille OSC,Fra,2.2,15,9.15,11.1,8.35,45.8
Fulham FC,Eng,3,26.5856,3.6714,9.05,3.2856,45.592
Anderlecht,Bel,0.9,14.74,5.92,14.02,9.3,44.88
Udinese,Ita,17.275,3.0856,2.3142,14.2714,5.8832,42.829
Fiorentina,Ita,11.275,24.0856,2.3142,2.2714,2.8832,42.829
Panathinaikos,Gre,13.3,13.58,7.52,3.02,4.88,42.3
Hannover 96,Ger,2.5374,3.6166,3.1332,19.05,13.5856,41.922
VfL Wolfsburg,Ger,12.5374,19.6166,3.1332,3.05,3.5856,41.922
Lazio,Ita,2.275,7.0856,2.3142,9.2714,20.8832,41.829
Spartak Moscow,Rus,7.95,1.2332,20.1832,3.45,7.95,40.766
Málaga CF,Esp,2.6624,3.5856,3.6428,4.1714,25.5428,39.605
AZ Alkmaar,Ned,1.2666,9.8832,7.2332,18.72,2.3428,39.445
BATE Borisov,Bls,6.8,5.675,10.175,6.625,9.9,39.175
Celtic,Sco,7.375,5.5332,2.22,5.55,16.86,37.538
Club Brugge,Bel,6.9,11.74,3.92,10.02,4.3,36.88
Steaua Bucuresti,Rom,4.5284,5.2166,5.6332,6.8666,13.36,35.604
APOEL Nicosia,Cyp,2.2666,7.85,2.125,20.825,2.3,35.366
Besiktas,Tur,3.4,8.52,9.92,11.02,2.04,34.9
Newcastle United,Eng,3,3.5856,3.6714,3.05,18.2856,31.592
Levante UD,Esp,2.6624,3.5856,3.6428,4.1714,16.5428,30.605
CFR Cluj,Rom,6.5284,3.2166,7.6332,0.8666,12.36,30.604
Hapoel Tel-Aviv,Isr,0.35,10.45,8.925,6.2,3.65,29.575
Sparta Praha,Cze,2.475,5.82,8.7,2.55,9.7,29.245
Hertha BSC,Ger,7.5374,11.6166,3.1332,3.05,3.5856,28.922
PAOK Thessaloniki,Gre,1.3,3.08,10.52,11.52,2.38,28.8
Viktoria Plzen,Cze,0.475,0.82,1.7,10.05,15.7,28.745
FC Salzburg,Aut,0.45,14.875,2.875,8.425,1.45,28.075
Aston Villa,Eng,11,5.0856,5.1714,3.05,3.2856,27.592
Racing Genk,Bel,0.9,3.24,2.42,9.02,11.3,26.88
AS Saint-Étienne,Fra,17.2,3,2.15,2.1,2.35,26.8
Dinamo Zagreb,Cro,4.8666,4.6,5.825,4.75,5.875,25.916
Sampdoria,Ita,11.275,3.0856,6.3142,2.2714,2.8832,25.829
Racing Santander,Esp,10.6624,3.5856,3.6428,4.1714,3.5428,25.605
