,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
Real Madrid,Esp,22.5856,33.6428,36.1714,29.5428,39.6,161.542
FC Barcelona,Esp,30.5856,36.6428,34.1714,27.5428,28.6,157.542
Bayern München,Ger,30.6166,24.1332,33.05,36.5856,29.9428,154.328
Chelsea,Eng,22.5856,26.6714,33.05,30.2856,28.357,140.949
Benfica,Por,21,25.76,23.3666,28.35,30.9832,129.459
Manchester United,Eng,28.5856,36.6714,16.05,21.2856,26.357,128.949
Atlético Madrid,Esp,24.5856,9.6428,34.1714,13.5428,37.6,119.542
Valencia,Esp,19.5856,21.6428,25.1714,22.5428,26.6,115.542
Arsenal,Eng,25.5856,22.6714,22.05,21.2856,21.357,112.949
FC Porto,Por,21,31.76,12.3666,22.35,17.9832,105.459
AC Milan,Ita,19.0856,18.3142,22.2714,19.8832,18.8332,98.387
Olympique Lyon,Fra,28,19.15,19.1,14.35,16.7,97.3
Internazionale,Ita,34.0856,21.3142,20.2714,16.8832,2.8332,95.387
Schalke 04,Ger,3.6166,30.1332,20.05,22.5856,18.9428,95.328
Borussia Dortmund,Ger,3.6166,10.1332,10.05,33.5856,24.9428,82.328
Juventus,Ita,18.0856,8.3142,2.2714,25.8832,25.8332,80.387
Paris Saint-Germain,Fra,3,14.15,9.1,27.35,26.7,80.3
Shakhtar Donetsk,Ukr,11.16,26.0166,9.55,18.9,12.5666,78.193
Tottenham Hotspur,Eng,3.5856,24.6714,10.05,19.2856,18.357,75.949
FC Basel,Sui,7.15,10.18,20.2,17.675,20.44,75.645
Zenit St. Petersburg,Rus,2.7332,18.1832,19.95,14.95,18.0832,73.899
Manchester City,Eng,3.5856,16.6714,20.05,10.2856,22.357,72.949
Sevilla,Esp,22.5856,12.6428,5.6714,3.5428,26.6,71.042
Bayer Leverkusen,Ger,3.6166,16.1332,19.05,12.5856,18.9428,70.328
Olympique Marseille,Fra,17,20.15,21.1,6.35,5.7,70.3
Rubin Kazan,Rus,14.2332,12.1832,9.95,19.95,13.0832,69.399
Olympiakos Piraeus,Gre,17.58,2.52,17.52,10.88,19.22,67.72
CSKA Moscow,Rus,21.2332,16.1832,17.95,3.45,8.0832,66.899
PSV Eindhoven,Ned,13.8832,20.2332,18.72,5.8428,6.1832,64.862
Ajax,Ned,10.8832,15.2332,14.72,9.8428,11.1832,61.862
