,,10월 11일,11월 12일,12월 13일,13/14,14/15,ranking
Real Madrid,Esp,33.6428,36.1714,29.5428,39.6,33.0428,171.999
FC Barcelona,Esp,36.6428,34.1714,27.5428,28.6,38.0428,164.999
Bayern München,Ger,24.1332,33.05,36.5856,29.9428,31.1714,154.883
Chelsea,Eng,26.6714,33.05,30.2856,28.357,23.7142,142.078
Atlético Madrid,Esp,9.6428,34.1714,13.5428,37.6,26.0428,120.999
Benfica,Por,25.76,23.3666,28.35,30.9832,9.8166,118.276
Schalke 04,Ger,30.1332,20.05,22.5856,18.9428,20.1714,111.883
FC Porto,Por,31.76,12.3666,22.35,17.9832,26.8166,111.276
Arsenal,Eng,22.6714,22.05,21.2856,21.357,22.7142,110.078
Manchester United,Eng,36.6714,16.05,21.2856,26.357,2.7142,103.078
Paris Saint-Germain,Fra,14.15,9.1,27.35,26.7,23.1832,100.483
Valencia,Esp,21.6428,25.1714,22.5428,26.6,4.0428,99.999
Borussia Dortmund,Ger,10.1332,10.05,33.5856,24.9428,21.1714,99.883
Juventus,Ita,8.3142,2.2714,25.8832,25.8332,32.8,95.102
Zenit St. Petersburg,Rus,18.1832,19.95,14.95,18.0832,18.9332,90.099
Bayer Leverkusen,Ger,16.1332,19.05,12.5856,18.9428,21.1714,87.883
Manchester City,Eng,16.6714,20.05,10.2856,22.357,17.7142,87.078
Shakhtar Donetsk,Ukr,26.0166,9.55,18.9,12.5666,19,86.033
FC Basel,Sui,10.18,20.2,17.675,20.44,16.38,84.875
Napoli,Ita,9.3142,21.2714,8.8832,18.8332,25.8,84.102
Tottenham Hotspur,Eng,24.6714,10.05,19.2856,18.357,11.7142,84.078
AC Milan,Ita,18.3142,22.2714,19.8832,18.8332,3.8,83.102
Sevilla,Esp,12.6428,5.6714,3.5428,26.6,32.0428,80.499
Internazionale,Ita,21.3142,20.2714,16.8832,2.8332,15.8,77.102
Olympique Lyon,Fra,19.15,19.1,14.35,16.7,3.6832,72.983
Ajax,Ned,15.2332,14.72,9.8428,11.1832,15.2166,66.195
Dinamo Kiev,Ukr,19.0166,7.55,10.9,9.5666,18,65.033
Olympiakos Piraeus,Gre,2.52,17.52,10.88,19.22,12.24,62.38
Villarreal,Esp,26.6428,8.1714,3.5428,4.6,16.0428,58.999
PSV Eindhoven,Ned,20.2332,18.72,5.8428,6.1832,7.2166,58.195
Rubin Kazan,Rus,12.1832,9.95,19.95,13.0832,1.9332,57.099
Athletic Bilbao,Esp,3.6428,27.1714,7.5428,4.6,14.0428,56.999
Sporting CP Lisbon,Por,13.76,22.3666,6.35,1.9832,11.8166,56.276
CSKA Moscow,Rus,16.1832,17.95,3.45,8.0832,9.9332,55.599
Olympique Marseille,Fra,20.15,21.1,6.35,5.7,2.1832,55.483
Dnipro Dnipropetrovsk,Ukr,3.5166,3.05,12.9,11.5666,21,52.033
Sporting Braga,Por,25.76,12.3666,8.35,3.4832,1.8166,51.776
Galatasaray,Tur,2.42,1.02,24.04,16.34,6.2,50.02
Fiorentina,Ita,2.3142,2.2714,2.8832,17.8332,23.8,49.102
Lazio,Ita,2.3142,9.2714,20.8832,12.8332,3.8,49.102
Anderlecht,Bel,5.92,14.02,9.3,6.28,11.92,47.44
Liverpool,Eng,15.6714,3.05,12.2856,3.357,12.7142,47.078
Metalist Kharkiv,Ukr,10.0166,19.55,11.9,1.5666,4,47.033
AZ Alkmaar,Ned,7.2332,18.72,2.3428,17.1832,1.2166,46.695
FC Twente Enschede,Ned,17.2332,17.72,4.8428,1.1832,2.7166,43.695
AS Roma,Ita,18.3142,3.7714,2.8832,2.8332,15.8,43.602
FC Salzburg,Aut,2.875,8.425,1.45,18.56,11.825,43.135
Málaga CF,Esp,3.6428,4.1714,25.5428,4.6,4.0428,41.999
Hannover 96,Ger,3.1332,19.05,13.5856,2.9428,3.1714,41.883
Viktoria Plzen,Cze,1.7,10.05,15.7,12.6,1.775,41.825
Club Brugge,Bel,3.92,10.02,4.3,2.28,20.92,41.44
FC København,Den,18.34,4.62,6.66,7.76,3.58,40.96
PAOK Thessaloniki,Gre,10.52,11.52,2.38,10.22,6.24,40.88
Steaua Bucuresti,Rom,5.6332,6.8666,13.36,8.375,6.025,40.259
Celtic,Sco,2.22,5.55,16.86,6.65,7.8,39.08
Spartak Moscow,Rus,20.1832,3.45,7.95,3.5832,1.9332,37.099
Racing Genk,Bel,2.42,9.02,11.3,12.28,1.92,36.94
Besiktas,Tur,9.92,11.02,2.04,1.34,12.2,36.52
Trabzonspor,Tur,2.42,11.02,3.54,11.34,8.2,36.52
Lille OSC,Fra,9.15,11.1,8.35,1.7,6.1832,36.483
VfB Stuttgart,Ger,13.1332,3.05,12.5856,4.4428,3.1714,36.383
APOEL Nicosia,Cyp,2.125,20.825,2.3,4.55,5.66,35.46
BATE Borisov,Bls,10.175,6.625,9.9,1.35,7.1,35.15
Borussia Mönchengladbach,Ger,3.1332,3.05,12.5856,2.9428,12.1714,33.883
Levante UD,Esp,3.6428,4.1714,16.5428,4.6,4.0428,32.999
Real Betis,Esp,3.6428,4.1714,3.5428,16.6,4.0428,31.999
VfL Wolfsburg,Ger,3.1332,3.05,3.5856,2.9428,19.1714,31.883
AS Monaco,Fra,2.15,2.1,2.35,1.7,23.1832,31.483
Young Boys,Sui,9.18,2.7,8.675,1.44,9.38,31.375
Anzhi Makhachkala,Rus,2.1832,1.95,12.95,12.0832,1.9332,31.099
Newcastle United,Eng,3.6714,3.05,18.2856,3.357,2.7142,31.078
Sparta Praha,Cze,8.7,2.55,9.7,2.1,7.775,30.825
Udinese,Ita,2.3142,14.2714,5.8832,4.3332,3.8,30.602
Everton,Eng,3.6714,3.05,3.2856,3.357,16.7142,30.078
Fenerbahçe,Tur,2.42,1.02,24.04,1.34,1.2,30.02
Eintracht Frankfurt,Ger,3.1332,3.05,3.5856,14.9428,3.1714,27.883
Dinamo Moscow,Rus,2.1832,1.95,3.45,2.0832,17.9332,27.599
Torino,Ita,2.3142,2.2714,2.8832,2.8332,16.8,27.102
Real Sociedad,Esp,3.6428,4.1714,3.5428,9.6,5.5428,26.499
Standard Liège,Bel,0.92,15.02,1.3,3.28,4.92,25.44
Ludogorets Razgrad,Bul,0.925,0.3,1.15,15.125,7.85,25.35
Getafe,Esp,8.6428,4.1714,3.5428,4.6,4.0428,24.999
