,,11월 12일,12월 13일,13/14,14/15,15/16,ranking
Real Madrid,Esp,36.1714,29.5428,39.6,33.0428,37.7856,176.142
Bayern München,Ger,33.05,36.5856,29.9428,31.1714,32.2856,163.035
FC Barcelona,Esp,34.1714,27.5428,28.6,38.0428,30.7856,159.142
Atlético Madrid,Esp,34.1714,13.5428,37.6,26.0428,32.7856,144.142
Chelsea,Eng,33.05,30.2856,28.357,23.7142,20.85,136.256
Benfica,Por,23.3666,28.35,30.9832,9.8166,24.1,116.616
Paris Saint-Germain,Fra,9.1,27.35,26.7,23.1832,26.2166,112.549
Borussia Dortmund,Ger,10.05,33.5856,24.9428,21.1714,20.2856,110.035
Juventus,Ita,2.2714,25.8832,25.8332,32.8,20.3,107.087
Arsenal,Eng,22.05,21.2856,21.357,22.7142,17.85,105.256
Manchester City,Eng,20.05,10.2856,22.357,17.7142,28.85,99.256
Valencia,Esp,25.1714,22.5428,26.6,4.0428,18.7856,97.142
Schalke 04,Ger,20.05,22.5856,18.9428,20.1714,14.2856,96.035
Sevilla,Esp,5.6714,3.5428,26.6,32.0428,27.7856,95.642
Zenit St. Petersburg,Rus,19.95,14.95,18.0832,18.9332,21.3,93.216
FC Porto,Por,12.3666,22.35,17.9832,26.8166,13.1,92.616
Napoli,Ita,21.2714,8.8832,18.8332,25.8,15.3,90.087
Bayer Leverkusen,Ger,19.05,12.5856,18.9428,21.1714,17.2856,89.035
FC Basel,Sui,20.2,17.675,20.44,16.38,13.06,87.755
Manchester United,Eng,16.05,21.2856,26.357,2.7142,15.85,82.256
Shakhtar Donetsk,Ukr,9.55,18.9,12.5666,19,21.96,81.976
Athletic Bilbao,Esp,27.1714,7.5428,4.6,14.0428,21.7856,75.142
Tottenham Hotspur,Eng,10.05,19.2856,18.357,11.7142,14.85,74.256
Olympiakos Piraeus,Gre,17.52,10.88,19.22,12.24,11.08,70.94
AC Milan,Ita,22.2714,19.8832,18.8332,3.8,2.3,67.087
Dinamo Kiev,Ukr,7.55,10.9,9.5666,18,19.96,65.976
Lazio,Ita,9.2714,20.8832,12.8332,3.8,16.3,63.087
Olympique Lyon,Fra,19.1,14.35,16.7,3.6832,9.2166,63.049
Villarreal,Esp,8.1714,3.5428,4.6,16.0428,27.7856,60.142
Ajax,Ned,14.72,9.8428,11.1832,15.2166,7.15,58.112
Internazionale,Ita,20.2714,16.8832,2.8332,15.8,2.3,58.087
Galatasaray,Tur,1.02,24.04,16.34,6.2,10.32,57.92
PSV Eindhoven,Ned,18.72,5.8428,6.1832,7.2166,19.15,57.112
Fiorentina,Ita,2.2714,2.8832,17.8332,23.8,10.3,57.087
Liverpool,Eng,3.05,12.2856,3.357,12.7142,24.85,56.256
VfL Wolfsburg,Ger,3.05,3.5856,2.9428,19.1714,27.2856,56.035
Dnipro Dnipropetrovsk,Ukr,3.05,12.9,11.5666,21,6.96,55.476
Anderlecht,Bel,14.02,9.3,6.28,11.92,12.48,54
Rubin Kazan,Rus,9.95,19.95,13.0832,1.9332,7.3,52.216
Sporting CP Lisbon,Por,22.3666,6.35,1.9832,11.8166,9.1,51.616
CSKA Moscow,Rus,17.95,3.45,8.0832,9.9332,9.3,48.716
Olympique Marseille,Fra,21.1,6.35,5.7,2.1832,11.2166,46.549
Viktoria Plzen,Cze,10.05,15.7,12.6,1.775,4.46,44.585
AZ Alkmaar,Ned,18.72,2.3428,17.1832,1.2166,4.15,43.612
Málaga CF,Esp,4.1714,25.5428,4.6,4.0428,4.7856,43.142
