,,12월 13일,13/14,14/15,15/16,16/17,ranking
Real Madrid,Esp,29.5428,39.6,33.0428,37.7856,37.0284,176.999
Bayern München,Ger,36.5856,29.9428,31.1714,32.2856,24.9142,154.899
FC Barcelona,Esp,27.5428,28.6,38.0428,30.7856,27.0284,151.999
Atlético Madrid,Esp,13.5428,37.6,26.0428,32.7856,33.0284,142.999
Juventus,Ita,25.8832,25.8332,32.8,20.3,35.85,140.666
Paris Saint-Germain,Fra,27.35,26.7,23.1832,26.2166,22.8832,126.333
Borussia Dortmund,Ger,33.5856,24.9428,21.1714,20.2856,24.9142,124.899
Sevilla,Esp,3.5428,26.6,32.0428,27.7856,23.0284,112.999
Benfica,Por,28.35,30.9832,9.8166,24.1,18.6166,111.866
Chelsea,Eng,30.2856,28.357,23.7142,20.85,2.9856,106.192
Arsenal,Eng,21.2856,21.357,22.7142,17.85,21.9856,105.192
Manchester City,Eng,10.2856,22.357,17.7142,28.85,20.9856,100.192
FC Porto,Por,22.35,17.9832,26.8166,13.1,18.6166,98.866
Schalke 04,Ger,22.5856,18.9428,20.1714,14.2856,20.9142,96.899
Manchester United,Eng,21.2856,26.357,2.7142,15.85,28.9856,95.192
Bayer Leverkusen,Ger,12.5856,18.9428,21.1714,17.2856,20.9142,90.899
Napoli,Ita,8.8832,18.8332,25.8,15.3,19.85,88.666
Shakhtar Donetsk,Ukr,18.9,12.5666,19,21.96,15.1,87.526
Zenit St. Petersburg,Rus,14.95,18.0832,18.9332,21.3,13.84,87.106
Tottenham Hotspur,Eng,19.2856,18.357,11.7142,14.85,12.9856,77.192
Valencia,Esp,22.5428,26.6,4.0428,18.7856,4.0284,75.999
FC Basel,Sui,17.675,20.44,16.38,13.06,6.86,74.415
Olympique Lyon,Fra,14.35,16.7,3.6832,9.2166,24.8832,68.833
Fiorentina,Ita,2.8832,17.8332,23.8,10.3,13.85,68.666
Dinamo Kiev,Ukr,10.9,9.5666,18,19.96,9.1,67.526
Ajax,Ned,9.8428,11.1832,15.2166,7.15,23.82,67.212
Villarreal,Esp,3.5428,4.6,16.0428,27.7856,13.0284,64.999
Olympiakos Piraeus,Gre,10.88,19.22,12.24,11.08,11.16,64.58
AS Monaco,Fra,2.35,1.7,23.1832,7.2166,27.8832,62.333
Athletic Bilbao,Esp,7.5428,4.6,14.0428,21.7856,13.0284,60.999
Galatasaray,Tur,24.04,16.34,6.2,10.32,1.94,58.84
Anderlecht,Bel,9.3,6.28,11.92,12.48,18.5,58.48
Lazio,Ita,20.8832,12.8332,3.8,16.3,2.85,56.666
Liverpool,Eng,12.2856,3.357,12.7142,24.85,2.9856,56.192
VfL Wolfsburg,Ger,3.5856,2.9428,19.1714,27.2856,2.9142,55.899
Borussia Mönchengladbach,Ger,12.5856,2.9428,12.1714,11.2856,14.9142,53.899
AS Roma,Ita,2.8832,2.8332,15.8,16.3,15.85,53.666
Dnipro Dnipropetrovsk,Ukr,12.9,11.5666,21,6.96,1.1,53.526
Fenerbahçe,Tur,24.04,1.34,1.2,13.32,11.94,51.84
Sparta Praha,Cze,9.7,2.1,7.775,18.46,10.1,48.135
AC Milan,Ita,19.8832,18.8332,3.8,2.3,2.85,47.666
PSV Eindhoven,Ned,5.8428,6.1832,7.2166,19.15,7.82,46.212
Besiktas,Tur,2.04,1.34,12.2,8.32,21.94,45.84
Racing Genk,Bel,11.3,12.28,1.92,1.48,18.5,45.48
Internazionale,Ita,16.8832,2.8332,15.8,2.3,6.85,44.666
Rubin Kazan,Rus,19.95,13.0832,1.9332,7.3,1.84,44.106
Málaga CF,Esp,25.5428,4.6,4.0428,4.7856,4.0284,42.999
Celtic,Sco,16.86,6.65,7.8,3.6,7.875,42.785
Viktoria Plzen,Cze,15.7,12.6,1.775,4.46,6.1,40.635
FC Salzburg,Aut,1.45,18.56,11.825,2.26,6.475,40.57
Celta de Vigo,Esp,3.5428,4.6,4.0428,4.7856,23.0284,39.999
CSKA Moscow,Rus,3.45,8.0832,9.9332,9.3,8.84,39.606
Club Brugge,Bel,4.3,2.28,20.92,5.48,6.5,39.48
FC København,Den,6.66,7.76,3.58,2.1,17.7,37.8
Sporting Braga,Por,8.35,3.4832,1.8166,17.1,6.6166,37.366
Leicester City,Eng,3.2856,3.357,2.7142,2.85,24.9856,37.192
Sporting CP Lisbon,Por,6.35,1.9832,11.8166,9.1,7.6166,36.866
AS Saint-Étienne,Fra,2.35,3.2,7.1832,11.2166,11.8832,35.833
AA Gent,Bel,2.3,1.28,1.92,17.48,12.5,35.48
Steaua Bucuresti,Rom,13.36,8.375,6.025,1.95,5.66,35.37
PAOK Thessaloniki,Gre,2.38,10.22,6.24,7.08,9.16,35.08
Ludogorets Razgrad,Bul,1.15,15.125,7.85,1.2,8.85,34.175
Levante UD,Esp,16.5428,4.6,4.0428,4.7856,4.0284,33.999
Real Betis,Esp,3.5428,16.6,4.0428,4.7856,4.0284,32.999
AZ Alkmaar,Ned,2.3428,17.1832,1.2166,4.15,7.82,32.712
FK Krasnodar,Rus,1.95,2.0832,6.9332,11.3,9.84,32.106
Anzhi Makhachkala,Rus,12.95,12.0832,1.9332,2.3,1.84,31.106
Newcastle United,Eng,18.2856,3.357,2.7142,2.85,2.9856,30.192
BATE Borisov,Bls,9.9,1.35,7.1,9.025,2.1,29.475
Girondins Bordeaux,Fra,14.35,3.7,2.1832,6.2166,2.8832,29.333
Everton,Eng,3.2856,3.357,16.7142,2.85,2.9856,29.192
Young Boys,Sui,8.675,1.44,9.38,2.56,6.86,28.915
Rapid Wien,Aut,2.45,6.56,2.325,10.76,6.475,28.57
Legia Warsaw,Pol,2,2.625,10.95,4.1,8.775,28.45
Olympique Marseille,Fra,6.35,5.7,2.1832,11.2166,2.8832,28.333
Eintracht Frankfurt,Ger,3.5856,14.9428,3.1714,3.2856,2.9142,27.899
Torino,Ita,2.8832,2.8332,16.8,2.3,2.85,27.666
Dinamo Moscow,Rus,3.45,2.0832,17.9332,2.3,1.84,27.606
Real Sociedad,Esp,3.5428,9.6,5.5428,4.7856,4.0284,27.499
Trabzonspor,Tur,3.54,11.34,8.2,2.32,1.94,27.34
VfB Stuttgart,Ger,12.5856,4.4428,3.1714,3.2856,2.9142,26.399
APOEL Nicosia,Cyp,2.3,4.55,5.66,2.6,11.1,26.21
Dinamo Zagreb,Cro,5.875,2.875,5.375,6.9,5.025,26.05
Hannover 96,Ger,13.5856,2.9428,3.1714,3.2856,2.9142,25.899
Slovan Liberec,Cze,3.2,9.6,1.775,6.46,4.1,25.135
FSV Mainz 05,Ger,3.5856,2.9428,4.1714,3.2856,9.9142,23.899
FK Rostov,Rus,1.95,2.0832,3.4332,2.3,13.84,23.606
Maccabi Tel-Aviv,Isr,0.65,10.15,1.775,4.45,6.35,23.375
Feyenoord,Ned,2.3428,2.6832,10.2166,1.15,6.82,23.212
FC Augsburg,Ger,3.5856,2.9428,3.1714,10.2856,2.9142,22.899
Southampton FC,Eng,3.2856,3.357,2.7142,4.35,8.9856,22.692
Lille OSC,Fra,8.35,1.7,6.1832,2.2166,3.8832,22.333
Swansea City,Eng,3.2856,10.357,2.7142,2.85,2.9856,22.192
NK Maribor,Slo,3.65,6.525,7.8,1.2,1.95,21.125
Spain,,3.5428,4.6,4.0428,4.7856,4.0284,20.999
Standard Liège,Bel,1.3,3.28,4.92,2.98,8.5,20.98
SC Freiburg,Ger,3.5856,7.9428,3.1714,3.2856,2.9142,20.899
Lokomotiv Moscow,Rus,1.95,2.0832,3.4332,11.3,1.84,20.606
Metalist Kharkiv,Ukr,11.9,1.5666,4,1.96,1.1,20.526
En Avant Guingamp,Fra,2.35,1.7,11.1832,2.2166,2.8832,20.333
Molde FK,Nor,4.98,2.02,1.44,11.45,0.275,20.165
Wigan Athletic,Eng,3.2856,7.357,2.7142,2.85,2.9856,19.192
Udinese,Ita,5.8832,4.3332,3.8,2.3,2.85,19.166
Sassuolo,Ita,2.8832,2.8332,3.8,2.3,6.85,18.666
Spartak Moscow,Rus,7.95,3.5832,1.9332,2.3,2.84,18.606
FC Zürich,Sui,1.675,2.44,6.38,2.06,5.86,18.415
Garabag Agdam,Azb,0.6,2,5.725,3.875,5.85,18.05
Astra Giurgiu,Rom,1.36,2.875,4.025,1.95,7.66,17.87
West Ham United,Eng,3.2856,3.357,2.7142,3.85,4.4856,17.692
Chernomorets Odesa,Ukr,1.9,9.5666,3,1.96,1.1,17.526
Montpellier,Fra,8.35,1.7,2.1832,2.2166,2.8832,17.333
Austria Wien,Aut,0.45,9.56,0.825,0.76,5.475,17.07
KSC Lokeren,Bel,2.8,1.28,8.92,1.48,2.5,16.98
Malmö FF,Swe,1.025,1.64,6.78,6.95,0.55,16.945
Hertha BSC,Ger,3.5856,2.9428,3.1714,3.2856,3.9142,16.899
CFR Cluj,Rom,12.36,1.375,2.025,0.45,0.66,16.87
Estoril Praia,Por,2.35,4.9832,5.8166,2.1,1.6166,16.866
OGC Nice,Fra,2.35,3.2,2.1832,2.2166,6.8832,16.833
FK Astana,Kaz,0.275,0.875,2.175,8.925,4.55,16.8
Hull City,Eng,3.2856,3.357,4.2142,2.85,2.9856,16.692
FC Midtjylland,Den,2.16,0.76,2.08,8.1,3.2,16.3
Partizan Belgrade,Srb,3.6,2,2.55,6.85,1.075,16.075
Germany,,3.5856,2.9428,3.1714,3.2856,2.9142,15.899
Osmanlispor,Tur,2.04,1.34,1.2,1.32,9.94,15.84
Sampdoria,Ita,2.8832,2.8332,3.8,3.3,2.85,15.666
Asteras Tripolis,Gre,1.88,2.22,6.24,4.08,1.16,15.58
NK Rijeka,Cro,0.875,4.875,6.375,1.4,2.025,15.55
England,,3.2856,3.357,2.7142,2.85,2.9856,15.192
Kuban Krasnodar,Rus,1.95,7.0832,1.9332,2.3,1.84,15.106
Panathinaikos,Gre,4.88,1.22,3.24,2.58,3.16,15.08
Vitória Guimarães,Por,2.35,5.9832,1.8166,3.1,1.6166,14.866
Maritimo Funchal,Por,7.35,1.9832,1.8166,2.1,1.6166,14.866
Esbjerg fB,Den,0.66,9.76,1.58,1.1,1.7,14.8
Italy,,2.8832,2.8332,3.8,2.3,2.85,14.666
Zulte Waregem,Bel,1.3,6.28,2.92,1.48,2.5,14.48
FC Sion,Sui,1.675,1.44,1.38,9.06,0.86,14.415
Rio Ave,Por,2.35,1.9832,4.8166,2.1,2.6166,13.866
CF Os Belenenses,Por,2.35,1.9832,1.8166,6.1,1.6166,13.866
Académica Coimbra,Por,6.35,1.9832,1.8166,2.1,1.6166,13.866
Zorya Luhansk,Ukr,1.9,1.5666,3.5,3.46,3.1,13.526
Paços de Ferreira,Por,2.35,4.9832,1.8166,2.1,1.6166,12.866
Rosenborg BK,Nor,4.98,1.02,1.44,3.45,1.775,12.665
FC Twente Enschede,Ned,4.8428,1.1832,2.7166,1.15,1.82,11.712
Hajduk Split,Cro,1.875,1.875,2.875,2.4,2.525,11.55
FC Arouca,Por,2.35,1.9832,1.8166,2.1,3.1166,11.366
Nacional Funchal,Por,2.35,1.9832,3.3166,2.1,1.6166,11.366
France,,2.35,1.7,2.1832,2.2166,2.8832,11.333
AaB Aalborg,Den,0.66,1.26,6.58,1.1,1.7,11.3
FC Nordsjælland,Den,5.66,2.26,0.58,1.1,1.7,11.3
Sheriff Tiraspol,Mol,1.95,5.675,1.85,0.5,1.175,11.15
Atromitos FC,Gre,2.38,2.72,2.24,2.58,1.16,11.08
Dinamo Minsk,Bls,0.9,1.35,4.1,3.025,1.6,10.975
Lech Poznan,Pol,1.5,1.625,1.95,5.1,0.775,10.95
Grasshoppers Zürich,Sui,1.675,2.94,2.88,1.06,2.36,10.915
Hapoel Beer-Sheva,Isr,0.65,1.15,0.775,0.95,7.35,10.875
Bursaspor,Tur,3.54,2.34,1.7,1.32,1.94,10.84
Apollon Limassol,Cyp,0.8,3.55,2.66,1.6,2.1,10.71
HJK Helsinki,Fin,1.9,1.1,4.48,1.7,1.35,10.53
Vorskla Poltava,Ukr,1.9,1.5666,2,2.96,2.1,10.526
Metalurg Donetsk,Ukr,2.9,2.5666,2,1.96,1.1,10.526
IF Elfsborg,Swe,2.025,3.64,2.28,1.95,0.55,10.445
FC Sankt Gallen,Sui,1.675,5.44,1.38,1.06,0.86,10.415
Istanbul Basaksehir,Tur,2.04,1.34,1.2,2.32,3.44,10.34
Mladá Boleslav,Cze,2.7,1.6,1.775,1.96,2.1,10.135
Russia,,1.95,2.0832,1.9332,2.3,1.84,10.106
AIK Stockholm,Swe,4.025,0.64,1.78,1.95,1.55,9.945
FC Thun,Sui,1.675,3.44,1.38,2.56,0.86,9.915
Portugal,,2.35,1.9832,1.8166,2.1,1.6166,9.866
Konyaspor,Tur,2.04,1.34,1.2,1.32,3.94,9.84
Neftchi Baku,Azb,3.6,1.5,2.225,1.125,1.35,9.8
FK Jablonec,Cze,1.7,3.1,0.775,2.96,1.1,9.635
FC Oleksandriya,Ukr,1.9,1.5666,2,1.96,2.1,9.526
Arsenal Kiev,Ukr,2.9,1.5666,2,1.96,1.1,9.526
Charleroi,Bel,1.3,1.28,1.92,2.48,2.5,9.48
FC Luzern,Sui,3.175,1.44,1.88,1.06,1.86,9.415
Karabükspor,Tur,2.04,1.34,2.7,1.32,1.94,9.34
Vitesse Arnhem,Ned,1.8428,2.1832,1.2166,2.15,1.82,9.212
Vojvodina Novi Sad,Srb,1.6,2,1.05,2.35,2.075,9.075
Eskisehirspor,Tur,3.04,1.34,1.2,1.32,1.94,8.84
Brøndby IF,Den,0.66,0.76,1.58,2.6,3.2,8.8
FC Groningen,Ned,0.8428,1.1832,1.7166,3.15,1.82,8.712
Videoton Fehérvár,Hun,4.6,0.425,0.425,1.825,1.375,8.65
Ukraine,,1.9,1.5666,2,1.96,1.1,8.526
Belgium,,1.3,1.28,1.92,1.48,2.5,8.48
