,,14/15,15/16,16/17,17/18,18/19,Total,Country,total
,,,,,,,Points,Part,
Bayern München,Ger,29,22,29,20,36,136,14.956,150.956
Real Madrid,Esp,33,33,32,19,17,134,20.456,154.456
FC Barcelona,Esp,26,23,25,30,24,128,20.456,148.456
Atlético Madrid,Esp,28,29,28,20,22,127,20.456,147.456
Juventus,Ita,18,33,23,21,22,117,14.13,131.13
Manchester City,Eng,26,18,22,25,25,116,18.092,134.092
Paris Saint-Germain,Fra,24,20,19,19,31,113,11.849,124.849
Sevilla,Esp,23,19,21,13,26,102,20.456,122.456
Manchester United,Eng,13,26,20,19,22,100,18.092,118.092
Liverpool,Eng,22,,30,29,18,99,18.092,117.092
Arsenal,Eng,15,19,21,26,10,91,18.092,109.092
Shakhtar Donetsk,Ukr,20,14,19,10,22,85,7.22,92.22
Borussia Dortmund,Ger,17,22,10,18,18,85,14.956,99.956
Tottenham Hotspur,Eng,12,10,21,26,16,85,18.092,103.092
Olympique Lyon,Fra,7,22,14,17,23,83,11.849,94.849
Chelsea,Eng,18,,18,30,17,83,18.092,101.092
AS Roma,Ita,14,13,25,17,11,80,14.13,94.13
Napoli,Ita,13,17,10,18,19,77,14.13,91.13
FC Porto,Por,11,17,17,23,7,75,9.889,84.889
Benfica,Por,22,17,4,17,10,70,9.889,79.889
Ajax,Ned,6,22,1.5,27,13,69.5,7.15,76.65
Zenit St. Petersburg,Rus,19,12,14,10,9,64,9.109,73.109
Bayer Leverkusen,Ger,14,18,,11,18,61,14.956,75.956
FC Basel,Sui,12,6,19,2.5,19,58.5,5.28,63.78
Villarreal,Esp,23,9,8,16,,56,20.456,76.456
Dinamo Kiev,Ukr,18,8,12,11,6,55,7.22,62.22
Valencia,Esp,14,,,23,17,54,20.456,74.456
Besiktas,Tur,7,20,19,5,3,54,6.72,60.72
FC Salzburg,Aut,1.5,5,21,16,10,53.5,6.585,60.085
Sporting CP Lisbon,Por,7,6,17,10,10,50,9.889,59.889
RB Leipzig,Ger,,,17,5,27,49,14.956,63.956
Schalke 04,Ger,11,18,,17,,46,14.956,60.956
Internazionale,Ita,,4,,15,25,44,14.13,58.13
CSKA Moscow,Rus,7,7,17,9,4,44,9.109,53.109
Olympiakos Piraeus,Gre,10,10,5,8,10,43,5.26,48.26
FC København,Den,1,16,7,4,14,42,5.85,47.85
Sporting Braga,Por,15,5,9,2,10,41,9.889,50.889
Lazio,Ita,14,,17,6,4,41,14.13,55.13
AS Monaco,Fra,5,25,6,5,,41,11.849,52.849
AA Gent,Bel,16,10,1,2.5,10,39.5,7.58,47.08
PSV Eindhoven,Ned,18,6,1,6,6,37,7.15,44.15
VfL Wolfsburg,Ger,24,,,,12,36,14.956,50.956
Anderlecht,Bel,11,16,6,3,,36,7.58,43.58
Athletic Bilbao,Esp,17,9,10,,,36,20.456,56.456
FK Krasnodar,Rus,9,8,1.5,11,6,35.5,9.109,44.609
Celtic,Sco,3,7,8,6,10,34,5.575,39.575
Viktoria Plzen,Cze,3,5,13,11,2,34,5.46,39.46
Atalanta,Ita,,,11,2.5,20,33.5,14.13,47.63
Dinamo Zagreb,Cro,6,4,1.5,14,8,33.5,4.975,38.475
Eintracht Frankfurt,Ger,,,,24,9,33,14.956,47.956
Lokomotiv Moscow,Rus,9,,12,6,6,33,9.109,42.109
Fenerbahçe,Tur,12,10,1.5,8,,31.5,6.72,38.22
Olympique Marseille,Fra,9,,19,3,,31,11.849,42.849
Sparta Praha,Cze,17,9,1,1.5,2,30.5,5.46,35.96
Racing Genk,Bel,,16,,9,5,30,7.58,37.58
FK Astana,Kaz,8,4,8,6,3,29,3.85,32.85
