"","V1","V2"
"df","0","0"
"tmp","PL1112","0.441"
"tmp","PL1213","0.438"
"tmp","PL1314","0.46"
"tmp","PL1415","0.462"
"tmp","PL1516","0.412"
"tmp","PL1617","0.481"
"tmp","PL1718","0.477"
"tmp","PL1819","0.48"
"tmp","PL1920","0.448"
"tmp","LIGA1112","0.495"
"tmp","LIGA1213","0.515"
"tmp","LIGA1314","0.453"
"tmp","LIGA1415","0.448"
"tmp","LIGA1516","0.502"
"tmp","LIGA1617","0.492"
"tmp","LIGA1718","0.488"
"tmp","LIGA1819","0.459"
"tmp","LIGA1920","0.466"
"tmp","SE1112","0.443"
"tmp","SE1213","0.468"
"tmp","SE1314","0.481"
"tmp","SE1415","0.481"
"tmp","SE1516","0.394"
"tmp","SE1617","0.434"
"tmp","SE1718","0.439"
"tmp","SE1819","0.46"
"tmp","SE1920","0.389"
"tmp","BL1112","0.452"
"tmp","BL1213","0.44"
"tmp","BL1314","0.49"
"tmp","BL1415","0.458"
"tmp","BL1516","0.453"
"tmp","BL1617","0.485"
"tmp","BL1718","0.446"
"tmp","BL1819","0.47"
"tmp","BL1920","0.418"
"tmp","PL1112","0.694"
"tmp","PL1213","0.716"
"tmp","PL1314","0.673"
"tmp","PL1415","0.703"
"tmp","PL1516","0.696"
"tmp","PL1617","0.71"
"tmp","PL1718","0.709"
"tmp","PL1819","0.663"
"tmp","PL1920","0.694"
"tmp","LIGA1112","0.732"
"tmp","LIGA1213","0.721"
"tmp","LIGA1314","0.692"
"tmp","LIGA1415","0.689"
"tmp","LIGA1516","0.743"
"tmp","LIGA1617","0.716"
"tmp","LIGA1718","0.696"
"tmp","LIGA1819","0.739"
"tmp","LIGA1920","0.744"
"tmp","SE1112","0.746"
"tmp","SE1213","0.703"
"tmp","SE1314","0.71"
"tmp","SE1415","0.71"
"tmp","SE1516","0.719"
"tmp","SE1617","0.694"
"tmp","SE1718","0.675"
"tmp","SE1819","0.721"
"tmp","SE1920","0.625"
"tmp","BL1112","0.71"
"tmp","BL1213","0.69"
"tmp","BL1314","0.691"
"tmp","BL1415","0.724"
"tmp","BL1516","0.674"
"tmp","BL1617","0.744"
"tmp","BL1718","0.723"
"tmp","BL1819","0.692"
"tmp","BL1920","0.647"
"tmp","PL1112","0.306"
"tmp","PL1213","0.284"
"tmp","PL1314","0.327"
"tmp","PL1415","0.297"
"tmp","PL1516","0.304"
"tmp","PL1617","0.29"
"tmp","PL1718","0.291"
"tmp","PL1819","0.337"
"tmp","PL1920","0.306"
"tmp","LIGA1112","0.268"
"tmp","LIGA1213","0.279"
"tmp","LIGA1314","0.308"
"tmp","LIGA1415","0.311"
"tmp","LIGA1516","0.257"
"tmp","LIGA1617","0.284"
"tmp","LIGA1718","0.304"
"tmp","LIGA1819","0.261"
"tmp","LIGA1920","0.256"
"tmp","SE1112","0.254"
"tmp","SE1213","0.297"
"tmp","SE1314","0.29"
"tmp","SE1415","0.29"
"tmp","SE1516","0.281"
"tmp","SE1617","0.306"
"tmp","SE1718","0.325"
"tmp","SE1819","0.279"
"tmp","SE1920","0.375"
"tmp","BL1112","0.29"
"tmp","BL1213","0.31"
"tmp","BL1314","0.309"
"tmp","BL1415","0.276"
"tmp","BL1516","0.326"
"tmp","BL1617","0.256"
"tmp","BL1718","0.277"
"tmp","BL1819","0.308"
"tmp","BL1920","0.353"
