"","HomeGoals","AwayGoals","HomeTeam","AwayTeam","MatchResult","lambda_home_goal","lambda_away_goal","Estimated1","Estimated2"
"[3691,]",4,1,"Tottenham","Crystal Palace",1,1.97226666666667,0.787703703703704,1,1
"[3692,]",0,1,"Liverpool","Fulham",-1,2.30571851851852,0.673688888888889,1,1
"[3693,]",0,0,"West Bromwich Albion","Newcastle United",0,1.11742222222222,1.38459259259259,-1,-1
"[3694,]",2,0,"Chelsea","Everton",1,1.63934814814815,0.946814814814815,1,1
"[3695,]",2,0,"West Ham","Leeds",1,1.37122962962963,1.14761481481481,1,1
"[3696,]",5,2,"Manchester City","Southampton",1,2.61137777777778,0.59837037037037,1,1
"[3697,]",1,1,"Newcastle United","Aston Villa",0,1.19460740740741,1.29051851851852,-1,0
"[3698,]",1,0,"Crystal Palace","West Bromwich Albion",1,1.53087407407407,1.02616296296296,1,1
"[3699,]",1,2,"Everton","Burnley",-1,1.47398518518519,1.06278518518519,1,1
"[3700,]",0,0,"Leeds","Chelsea",0,1.02068148148148,1.54047407407407,-1,-1
"[3701,]",0,3,"Fulham","Manchester City",-1,0.559762962962963,2.78835555555556,-1,-1
"[3702,]",1,0,"Manchester United","West Ham",1,1.72791111111111,0.898103703703704,1,1
"[3703,]",2,1,"Arsenal","Tottenham",1,1.19054814814815,1.30811851851852,-1,0
"[3704,]",1,2,"Southampton","Brighton",-1,1.34328888888889,1.15825185185185,1,0
"[3705,]",5,0,"Leicester","Sheffield United",1,1.86574814814815,0.839644444444444,1,1
"[3706,]",0,1,"Wolverhampton Wanderers","Liverpool",-1,0.953007407407407,1.63182222222222,-1,-1
"[3707,]",1,2,"Fulham","Leeds",-1,1.04053333333333,1.5221037037037,-1,-1
"[3708,]",3,0,"Brighton","Newcastle United",1,1.37357037037037,1.13238518518519,1,1
"[3709,]",0,2,"Aston Villa","Tottenham",-1,0.927407407407407,1.68322962962963,-1,-1
"[3710,]",3,3,"West Ham","Arsenal",0,1.13866666666667,1.37872592592593,-1,-1
